investigation_id,claim_id,status,priority,reason,final_decision
INV000020,CL019807,CLOSED,MEDIUM,policy created shortly before incident; short interval since previous claim,INVESTIGATE_FURTHER
INV000021,CL018526,CLOSED,MEDIUM,policy created shortly before incident; repair shop has an elevated historical investigation rate,REJECT
INV000022,CL009471,CLOSED,MEDIUM,policy created shortly before incident,APPROVE
INV000023,CL019155,CLOSED,HIGH,policy created shortly before incident; claim amount high relative to vehicle value,APPROVE
INV000024,CL026856,CLOSED,MEDIUM,claim amount high relative to vehicle value,REQUEST_DOCUMENTS
INV000025,CL009290,CLOSED,MEDIUM,repair shop has an elevated historical investigation rate,INVESTIGATE_FURTHER
INV000026,CL013536,CLOSED,HIGH,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000027,CL015326,IN_PROGRESS,MEDIUM,policy created shortly before incident; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000028,CL012259,CLOSED,LOW,policy created shortly before incident; short interval since previous claim,APPROVE
INV000029,CL017277,CLOSED,MEDIUM,claim amount high relative to vehicle value; short interval since previous claim; repair shop has an elevated historical investigation rate,REQUEST_DOCUMENTS
INV000030,CL000081,IN_PROGRESS,MEDIUM,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000031,CL017990,CLOSED,MEDIUM,policy created shortly before incident; claim amount high relative to vehicle value; repair shop has an elevated historical investigation rate,REQUEST_DOCUMENTS
INV000032,CL019357,CLOSED,HIGH,claim amount high relative to vehicle value; repair shop has an elevated historical investigation rate,APPROVE
INV000033,CL004935,CLOSED,MEDIUM,policy created shortly before incident,APPROVE
INV000034,CL013486,CLOSED,MEDIUM,claim amount high relative to vehicle value; short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000035,CL027089,CLOSED,MEDIUM,multiple previous claims on record; short interval since previous claim,INVESTIGATE_FURTHER
INV000036,CL029868,IN_PROGRESS,HIGH,claim amount high relative to vehicle value; multiple previous claims on record; repair shop has an elevated historical investigation rate,
INV000037,CL003884,IN_PROGRESS,MEDIUM,anomalous pattern flagged by risk model,
INV000038,CL023938,CLOSED,MEDIUM,policy created shortly before incident; short interval since previous claim,APPROVE
INV000039,CL027123,IN_PROGRESS,HIGH,multiple previous claims on record; short interval since previous claim,
INV000040,CL016797,CLOSED,HIGH,policy created shortly before incident,INVESTIGATE_FURTHER
INV000041,CL024820,CLOSED,HIGH,claim amount high relative to vehicle value; short interval since previous claim,REQUEST_DOCUMENTS
INV000042,CL018944,IN_PROGRESS,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,
INV000043,CL025145,CLOSED,LOW,short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000044,CL017956,IN_PROGRESS,LOW,policy created shortly before incident; claim amount high relative to vehicle value,
INV000045,CL029334,CLOSED,HIGH,multiple previous claims on record; short interval since previous claim,APPROVE
INV000046,CL015960,CLOSED,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,REQUEST_DOCUMENTS
INV000047,CL015000,CLOSED,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,APPROVE
INV000048,CL015825,CLOSED,LOW,claim amount high relative to vehicle value; repair shop has an elevated historical investigation rate,APPROVE
INV000049,CL017260,IN_PROGRESS,MEDIUM,repair shop has an elevated historical investigation rate,
INV000050,CL025263,CLOSED,MEDIUM,policy created shortly before incident; short interval since previous claim,APPROVE
INV000051,CL025872,CLOSED,MEDIUM,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,REQUEST_DOCUMENTS
INV000052,CL000667,IN_PROGRESS,HIGH,multiple previous claims on record; short interval since previous claim,
INV000053,CL001557,IN_PROGRESS,MEDIUM,multiple previous claims on record; short interval since previous claim,
INV000054,CL028454,CLOSED,MEDIUM,multiple previous claims on record; short interval since previous claim,APPROVE
INV000055,CL006054,CLOSED,HIGH,policy created shortly before incident,APPROVE
INV000056,CL006565,IN_PROGRESS,HIGH,multiple previous claims on record; short interval since previous claim,
INV000057,CL006784,CLOSED,MEDIUM,multiple previous claims on record; short interval since previous claim,APPROVE
INV000058,CL017048,CLOSED,MEDIUM,policy created shortly before incident; claim amount high relative to vehicle value,APPROVE
INV000059,CL015131,CLOSED,HIGH,claim amount high relative to vehicle value; repair shop has an elevated historical investigation rate,REQUEST_DOCUMENTS
INV000060,CL008305,CLOSED,MEDIUM,repair shop has an elevated historical investigation rate,REQUEST_DOCUMENTS
INV000061,CL010786,IN_PROGRESS,HIGH,anomalous pattern flagged by risk model,
INV000062,CL014915,CLOSED,MEDIUM,claim amount high relative to vehicle value,INVESTIGATE_FURTHER
INV000063,CL005015,IN_PROGRESS,LOW,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000064,CL015780,IN_PROGRESS,HIGH,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,
INV000065,CL027441,IN_PROGRESS,MEDIUM,anomalous pattern flagged by risk model,
INV000066,CL021610,CLOSED,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record; repair shop has an elevated historical investigation rate,INVESTIGATE_FURTHER
INV000067,CL011387,CLOSED,LOW,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,APPROVE
INV000068,CL023887,CLOSED,HIGH,policy created shortly before incident; claim amount high relative to vehicle value,REQUEST_DOCUMENTS
INV000069,CL020740,CLOSED,MEDIUM,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,INVESTIGATE_FURTHER
INV000070,CL016118,CLOSED,MEDIUM,policy created shortly before incident; short interval since previous claim,APPROVE
INV000071,CL003683,IN_PROGRESS,LOW,multiple previous claims on record; short interval since previous claim,
INV000072,CL027470,IN_PROGRESS,HIGH,policy created shortly before incident; short interval since previous claim,
INV000073,CL024345,IN_PROGRESS,HIGH,claim amount high relative to vehicle value,
INV000074,CL004001,CLOSED,MEDIUM,repair shop has an elevated historical investigation rate,APPROVE
INV000075,CL005606,CLOSED,MEDIUM,multiple previous claims on record; short interval since previous claim,REQUEST_DOCUMENTS
INV000076,CL023368,CLOSED,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,REQUEST_DOCUMENTS
INV000077,CL025221,IN_PROGRESS,HIGH,claim amount high relative to vehicle value,
INV000078,CL020407,IN_PROGRESS,LOW,short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000079,CL008780,CLOSED,HIGH,anomalous pattern flagged by risk model,APPROVE
INV000080,CL012812,CLOSED,HIGH,policy created shortly before incident; short interval since previous claim,REJECT
INV000081,CL016098,CLOSED,MEDIUM,policy created shortly before incident; short interval since previous claim; repair shop has an elevated historical investigation rate,INVESTIGATE_FURTHER
INV000082,CL028221,IN_PROGRESS,LOW,short interval since previous claim,
INV000083,CL022365,IN_PROGRESS,HIGH,multiple previous claims on record,
INV000084,CL004225,CLOSED,HIGH,policy created shortly before incident; claim amount high relative to vehicle value,APPROVE
INV000085,CL008094,IN_PROGRESS,LOW,short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000086,CL000532,CLOSED,MEDIUM,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000087,CL008695,IN_PROGRESS,MEDIUM,multiple previous claims on record; repair shop has an elevated historical investigation rate,
INV000088,CL014992,CLOSED,MEDIUM,short interval since previous claim; repair shop has an elevated historical investigation rate,REJECT
INV000089,CL020992,CLOSED,MEDIUM,short interval since previous claim; repair shop has an elevated historical investigation rate,REQUEST_DOCUMENTS
INV000090,CL026582,IN_PROGRESS,MEDIUM,short interval since previous claim,
INV000091,CL026149,IN_PROGRESS,MEDIUM,multiple previous claims on record; short interval since previous claim,
INV000092,CL009920,CLOSED,LOW,policy created shortly before incident; repair shop has an elevated historical investigation rate,APPROVE
INV000093,CL006865,CLOSED,MEDIUM,repair shop has an elevated historical investigation rate,APPROVE
INV000094,CL000286,IN_PROGRESS,HIGH,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000095,CL009465,CLOSED,LOW,multiple previous claims on record; repair shop has an elevated historical investigation rate,INVESTIGATE_FURTHER
INV000096,CL011006,CLOSED,LOW,policy created shortly before incident,REJECT
INV000097,CL005927,IN_PROGRESS,HIGH,short interval since previous claim,
INV000098,CL011558,CLOSED,HIGH,multiple previous claims on record; short interval since previous claim,REQUEST_DOCUMENTS
INV000099,CL010397,IN_PROGRESS,MEDIUM,policy created shortly before incident; claim amount high relative to vehicle value; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000100,CL004276,CLOSED,MEDIUM,claim amount high relative to vehicle value; short interval since previous claim,INVESTIGATE_FURTHER
INV000101,CL026049,IN_PROGRESS,MEDIUM,policy created shortly before incident; short interval since previous claim,
INV000102,CL014274,CLOSED,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,INVESTIGATE_FURTHER
INV000103,CL018087,CLOSED,HIGH,claim amount high relative to vehicle value,APPROVE
INV000104,CL018064,CLOSED,HIGH,multiple previous claims on record; repair shop has an elevated historical investigation rate,REQUEST_DOCUMENTS
INV000105,CL003120,IN_PROGRESS,LOW,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000106,CL008525,CLOSED,LOW,multiple previous claims on record; short interval since previous claim,APPROVE
INV000107,CL029781,IN_PROGRESS,MEDIUM,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000108,CL006852,CLOSED,MEDIUM,policy created shortly before incident,INVESTIGATE_FURTHER
INV000109,CL008810,IN_PROGRESS,HIGH,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000110,CL009736,CLOSED,LOW,repair shop has an elevated historical investigation rate,REJECT
INV000111,CL014100,IN_PROGRESS,LOW,short interval since previous claim,
INV000112,CL000665,IN_PROGRESS,LOW,claim amount high relative to vehicle value,
INV000113,CL018480,CLOSED,LOW,multiple previous claims on record; short interval since previous claim,REQUEST_DOCUMENTS
INV000114,CL014862,CLOSED,LOW,policy created shortly before incident; short interval since previous claim,APPROVE
INV000115,CL014716,IN_PROGRESS,HIGH,anomalous pattern flagged by risk model,
INV000116,CL002229,IN_PROGRESS,MEDIUM,policy created shortly before incident; repair shop has an elevated historical investigation rate,
INV000117,CL013401,CLOSED,HIGH,short interval since previous claim,REQUEST_DOCUMENTS
INV000118,CL024200,CLOSED,MEDIUM,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000119,CL018288,CLOSED,MEDIUM,multiple previous claims on record; short interval since previous claim,APPROVE
INV000120,CL003865,CLOSED,LOW,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000121,CL023620,CLOSED,MEDIUM,policy created shortly before incident; repair shop has an elevated historical investigation rate,APPROVE
INV000122,CL002436,CLOSED,MEDIUM,short interval since previous claim,REJECT
INV000123,CL028338,CLOSED,MEDIUM,policy created shortly before incident; repair shop has an elevated historical investigation rate,INVESTIGATE_FURTHER
INV000124,CL011124,CLOSED,MEDIUM,policy created shortly before incident; multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,REQUEST_DOCUMENTS
INV000125,CL015371,CLOSED,HIGH,policy created shortly before incident; short interval since previous claim; repair shop has an elevated historical investigation rate,REJECT
INV000126,CL016453,CLOSED,HIGH,policy created shortly before incident,INVESTIGATE_FURTHER
INV000127,CL013864,IN_PROGRESS,LOW,multiple previous claims on record; short interval since previous claim,
INV000128,CL019880,CLOSED,MEDIUM,anomalous pattern flagged by risk model,INVESTIGATE_FURTHER
INV000129,CL016886,IN_PROGRESS,LOW,policy created shortly before incident; claim amount high relative to vehicle value,
INV000130,CL013156,IN_PROGRESS,MEDIUM,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000131,CL019699,IN_PROGRESS,LOW,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,
INV000132,CL016432,IN_PROGRESS,MEDIUM,policy created shortly before incident; claim amount high relative to vehicle value; short interval since previous claim,
INV000133,CL025196,CLOSED,HIGH,short interval since previous claim; repair shop has an elevated historical investigation rate,REQUEST_DOCUMENTS
INV000134,CL015833,CLOSED,MEDIUM,claim amount high relative to vehicle value; repair shop has an elevated historical investigation rate,APPROVE
INV000135,CL013758,CLOSED,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record,REQUEST_DOCUMENTS
INV000136,CL028909,CLOSED,LOW,policy created shortly before incident; short interval since previous claim,APPROVE
INV000137,CL016113,IN_PROGRESS,LOW,policy created shortly before incident,
INV000138,CL027282,CLOSED,LOW,multiple previous claims on record; short interval since previous claim,APPROVE
INV000139,CL023036,CLOSED,LOW,anomalous pattern flagged by risk model,INVESTIGATE_FURTHER
INV000140,CL001034,IN_PROGRESS,LOW,short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000141,CL020575,IN_PROGRESS,HIGH,claim amount high relative to vehicle value; short interval since previous claim,
INV000142,CL013434,CLOSED,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record,REQUEST_DOCUMENTS
INV000143,CL008952,CLOSED,MEDIUM,short interval since previous claim,APPROVE
INV000144,CL012291,CLOSED,LOW,short interval since previous claim; repair shop has an elevated historical investigation rate,REQUEST_DOCUMENTS
INV000145,CL025383,CLOSED,MEDIUM,policy created shortly before incident; multiple previous claims on record; short interval since previous claim,APPROVE
INV000146,CL013584,IN_PROGRESS,MEDIUM,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000147,CL028318,CLOSED,HIGH,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,APPROVE
INV000148,CL003491,CLOSED,HIGH,claim amount high relative to vehicle value; short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000149,CL022432,IN_PROGRESS,LOW,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000150,CL029807,IN_PROGRESS,HIGH,multiple previous claims on record; short interval since previous claim,
INV000151,CL015173,IN_PROGRESS,HIGH,multiple previous claims on record; short interval since previous claim,
INV000152,CL011554,CLOSED,HIGH,multiple previous claims on record; short interval since previous claim,APPROVE
INV000153,CL018249,IN_PROGRESS,MEDIUM,policy created shortly before incident; multiple previous claims on record; short interval since previous claim,
INV000154,CL004383,IN_PROGRESS,MEDIUM,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000155,CL028923,IN_PROGRESS,MEDIUM,short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000156,CL008604,IN_PROGRESS,MEDIUM,policy created shortly before incident; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000157,CL017770,IN_PROGRESS,MEDIUM,policy created shortly before incident; claim amount high relative to vehicle value,
INV000158,CL023666,CLOSED,MEDIUM,multiple previous claims on record; repair shop has an elevated historical investigation rate,APPROVE
INV000159,CL009342,CLOSED,HIGH,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,INVESTIGATE_FURTHER
INV000160,CL028174,CLOSED,HIGH,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,INVESTIGATE_FURTHER
INV000161,CL010880,CLOSED,LOW,policy created shortly before incident; claim amount high relative to vehicle value,REQUEST_DOCUMENTS
INV000162,CL008100,CLOSED,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record,REJECT
INV000163,CL016725,CLOSED,MEDIUM,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000164,CL001680,IN_PROGRESS,HIGH,multiple previous claims on record,
INV000165,CL014858,CLOSED,HIGH,multiple previous claims on record; short interval since previous claim,REJECT
INV000166,CL011477,CLOSED,MEDIUM,multiple previous claims on record; short interval since previous claim,APPROVE
INV000167,CL016179,CLOSED,LOW,policy created shortly before incident; short interval since previous claim; repair shop has an elevated historical investigation rate,REQUEST_DOCUMENTS
INV000168,CL026843,IN_PROGRESS,HIGH,multiple previous claims on record; short interval since previous claim,
INV000169,CL012636,CLOSED,HIGH,multiple previous claims on record; short interval since previous claim,APPROVE
INV000170,CL017469,CLOSED,HIGH,multiple previous claims on record; short interval since previous claim,REQUEST_DOCUMENTS
INV000171,CL011751,CLOSED,MEDIUM,short interval since previous claim,INVESTIGATE_FURTHER
INV000172,CL008493,IN_PROGRESS,MEDIUM,policy created shortly before incident; repair shop has an elevated historical investigation rate,
INV000173,CL004105,IN_PROGRESS,LOW,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,
INV000174,CL006642,IN_PROGRESS,MEDIUM,repair shop has an elevated historical investigation rate,
INV000175,CL000701,CLOSED,HIGH,policy created shortly before incident; multiple previous claims on record; short interval since previous claim,REQUEST_DOCUMENTS
INV000176,CL005533,CLOSED,MEDIUM,short interval since previous claim,APPROVE
INV000177,CL028127,IN_PROGRESS,MEDIUM,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000178,CL007991,CLOSED,HIGH,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,INVESTIGATE_FURTHER
INV000179,CL007250,CLOSED,LOW,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,APPROVE
INV000180,CL026532,CLOSED,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,APPROVE
INV000181,CL028582,IN_PROGRESS,HIGH,policy created shortly before incident; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000182,CL019473,IN_PROGRESS,MEDIUM,claim amount high relative to vehicle value; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000183,CL007347,CLOSED,MEDIUM,multiple previous claims on record; short interval since previous claim,REQUEST_DOCUMENTS
INV000184,CL008675,CLOSED,MEDIUM,multiple previous claims on record; short interval since previous claim,REJECT
INV000185,CL000985,IN_PROGRESS,HIGH,repair shop has an elevated historical investigation rate,
INV000186,CL017218,CLOSED,MEDIUM,policy created shortly before incident,REJECT
INV000187,CL001718,CLOSED,HIGH,multiple previous claims on record; short interval since previous claim,REJECT
INV000188,CL010711,CLOSED,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000189,CL016577,CLOSED,MEDIUM,multiple previous claims on record; short interval since previous claim,APPROVE
INV000190,CL015488,IN_PROGRESS,HIGH,multiple previous claims on record; short interval since previous claim,
INV000191,CL028934,CLOSED,LOW,short interval since previous claim,INVESTIGATE_FURTHER
INV000192,CL027169,CLOSED,MEDIUM,short interval since previous claim,INVESTIGATE_FURTHER
INV000193,CL004519,CLOSED,HIGH,claim amount high relative to vehicle value,REQUEST_DOCUMENTS
INV000194,CL000735,CLOSED,MEDIUM,short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000195,CL014241,IN_PROGRESS,HIGH,claim amount high relative to vehicle value; multiple previous claims on record,
INV000196,CL023792,CLOSED,HIGH,anomalous pattern flagged by risk model,REJECT
INV000197,CL012762,IN_PROGRESS,HIGH,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000198,CL004348,CLOSED,HIGH,multiple previous claims on record; repair shop has an elevated historical investigation rate,INVESTIGATE_FURTHER
INV000199,CL008537,CLOSED,HIGH,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000200,CL028131,CLOSED,MEDIUM,repair shop has an elevated historical investigation rate,REQUEST_DOCUMENTS
INV000201,CL012014,CLOSED,LOW,multiple previous claims on record; short interval since previous claim,APPROVE
INV000202,CL011840,IN_PROGRESS,LOW,multiple previous claims on record,
INV000203,CL013384,CLOSED,HIGH,anomalous pattern flagged by risk model,INVESTIGATE_FURTHER
INV000204,CL017305,CLOSED,LOW,claim amount high relative to vehicle value,REQUEST_DOCUMENTS
INV000205,CL011980,CLOSED,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,APPROVE
INV000206,CL026897,IN_PROGRESS,MEDIUM,repair shop has an elevated historical investigation rate,
INV000207,CL024945,CLOSED,HIGH,multiple previous claims on record; repair shop has an elevated historical investigation rate,REJECT
INV000208,CL006090,IN_PROGRESS,HIGH,multiple previous claims on record,
INV000209,CL012978,CLOSED,HIGH,claim amount high relative to vehicle value; multiple previous claims on record; repair shop has an elevated historical investigation rate,REJECT
INV000210,CL001935,CLOSED,HIGH,policy created shortly before incident,APPROVE
INV000211,CL026459,CLOSED,LOW,policy created shortly before incident; short interval since previous claim; repair shop has an elevated historical investigation rate,REQUEST_DOCUMENTS
INV000212,CL025313,IN_PROGRESS,MEDIUM,multiple previous claims on record; short interval since previous claim,
INV000213,CL024608,CLOSED,MEDIUM,multiple previous claims on record; short interval since previous claim,INVESTIGATE_FURTHER
INV000214,CL014046,CLOSED,LOW,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000215,CL025727,IN_PROGRESS,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000216,CL017517,IN_PROGRESS,HIGH,short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000217,CL010710,IN_PROGRESS,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,
INV000218,CL019720,CLOSED,MEDIUM,repair shop has an elevated historical investigation rate,APPROVE
INV000219,CL017550,CLOSED,HIGH,policy created shortly before incident,REQUEST_DOCUMENTS
INV000220,CL005692,CLOSED,MEDIUM,multiple previous claims on record; short interval since previous claim,INVESTIGATE_FURTHER
INV000221,CL007680,IN_PROGRESS,LOW,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,
INV000222,CL004902,IN_PROGRESS,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record,
INV000223,CL016478,CLOSED,LOW,short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000224,CL009322,IN_PROGRESS,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000225,CL011389,CLOSED,HIGH,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,REQUEST_DOCUMENTS
INV000226,CL025917,CLOSED,LOW,multiple previous claims on record; short interval since previous claim,APPROVE
INV000227,CL003107,CLOSED,LOW,multiple previous claims on record; short interval since previous claim,APPROVE
INV000228,CL029766,CLOSED,LOW,multiple previous claims on record,REQUEST_DOCUMENTS
INV000229,CL013210,CLOSED,HIGH,short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000230,CL008105,IN_PROGRESS,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,
INV000231,CL014043,CLOSED,HIGH,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000232,CL004686,CLOSED,HIGH,multiple previous claims on record; short interval since previous claim,INVESTIGATE_FURTHER
INV000233,CL006202,IN_PROGRESS,MEDIUM,multiple previous claims on record; short interval since previous claim,
INV000234,CL015165,IN_PROGRESS,LOW,multiple previous claims on record,
INV000235,CL002132,CLOSED,MEDIUM,short interval since previous claim,REQUEST_DOCUMENTS
INV000236,CL025463,CLOSED,LOW,claim amount high relative to vehicle value; multiple previous claims on record,APPROVE
INV000237,CL028565,CLOSED,LOW,anomalous pattern flagged by risk model,INVESTIGATE_FURTHER
INV000238,CL003026,CLOSED,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record,REQUEST_DOCUMENTS
INV000239,CL027984,IN_PROGRESS,HIGH,multiple previous claims on record,
INV000240,CL007289,CLOSED,MEDIUM,policy created shortly before incident,REJECT
INV000241,CL019491,CLOSED,MEDIUM,claim amount high relative to vehicle value,APPROVE
INV000242,CL013949,CLOSED,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000243,CL002173,CLOSED,MEDIUM,multiple previous claims on record; repair shop has an elevated historical investigation rate,APPROVE
INV000244,CL005112,IN_PROGRESS,LOW,multiple previous claims on record; short interval since previous claim,
INV000245,CL002359,IN_PROGRESS,MEDIUM,anomalous pattern flagged by risk model,
INV000246,CL019118,CLOSED,LOW,multiple previous claims on record; short interval since previous claim,INVESTIGATE_FURTHER
INV000247,CL002676,CLOSED,HIGH,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,APPROVE
INV000248,CL029167,IN_PROGRESS,MEDIUM,claim amount high relative to vehicle value,
INV000249,CL005901,CLOSED,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,APPROVE
INV000250,CL025843,CLOSED,MEDIUM,short interval since previous claim,APPROVE
INV000251,CL014247,CLOSED,HIGH,multiple previous claims on record; short interval since previous claim; repair shop has an elevated historical investigation rate,REQUEST_DOCUMENTS
INV000252,CL014818,CLOSED,MEDIUM,multiple previous claims on record; repair shop has an elevated historical investigation rate,INVESTIGATE_FURTHER
INV000253,CL028555,IN_PROGRESS,HIGH,multiple previous claims on record; short interval since previous claim,
INV000254,CL011801,IN_PROGRESS,MEDIUM,multiple previous claims on record,
INV000255,CL005431,IN_PROGRESS,HIGH,short interval since previous claim,
INV000256,CL011106,CLOSED,HIGH,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,REJECT
INV000257,CL006534,IN_PROGRESS,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record; short interval since previous claim,
INV000258,CL016769,CLOSED,MEDIUM,claim amount high relative to vehicle value; multiple previous claims on record,INVESTIGATE_FURTHER
INV000259,CL001787,CLOSED,LOW,multiple previous claims on record; short interval since previous claim,REQUEST_DOCUMENTS
